2025/07/23 10:38:35.191, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2325 MHz, 449.85 W
2025/07/23 10:38:37.213, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 444.39 W
2025/07/23 10:38:39.236, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 448.79 W
2025/07/23 10:38:41.259, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2670 MHz, 447.88 W
2025/07/23 10:38:43.282, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 450.44 W
2025/07/23 10:38:45.304, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 447.33 W
2025/07/23 10:38:47.326, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 448.29 W
2025/07/23 10:38:49.349, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 450.14 W
2025/07/23 10:38:51.372, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 448.75 W
2025/07/23 10:38:53.394, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 450.63 W
2025/07/23 10:38:55.416, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2400 MHz, 446.95 W
2025/07/23 10:38:57.439, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.08 W
2025/07/23 10:38:59.462, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 445.43 W
2025/07/23 10:39:01.484, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 450.19 W
2025/07/23 10:39:03.507, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.93 W
2025/07/23 10:39:05.530, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2415 MHz, 447.11 W
2025/07/23 10:39:07.552, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.47 W
2025/07/23 10:39:09.575, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2325 MHz, 448.64 W
2025/07/23 10:39:11.598, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 450.31 W
2025/07/23 10:39:13.620, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 445.04 W
2025/07/23 10:39:15.643, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 448.87 W
2025/07/23 10:39:17.666, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 448.48 W
2025/07/23 10:39:19.688, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 450.74 W
2025/07/23 10:39:21.712, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 450.74 W
2025/07/23 10:39:23.735, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 444.23 W
2025/07/23 10:39:25.758, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 446.79 W
2025/07/23 10:39:27.781, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 73, 2370 MHz, 445.67 W
2025/07/23 10:39:29.803, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 450.55 W
2025/07/23 10:39:31.825, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.14 W
2025/07/23 10:39:33.848, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 447.74 W
2025/07/23 10:39:35.870, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.52 W
2025/07/23 10:39:37.893, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 448.42 W
2025/07/23 10:39:39.917, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 450.40 W
2025/07/23 10:39:41.941, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 446.47 W
2025/07/23 10:39:43.963, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 449.51 W
2025/07/23 10:39:45.986, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 448.31 W
2025/07/23 10:39:48.008, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 452.07 W
2025/07/23 10:39:50.031, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.90 W
2025/07/23 10:39:52.054, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 72, 2565 MHz, 449.69 W
2025/07/23 10:39:54.076, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 449.34 W
2025/07/23 10:39:56.099, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2310 MHz, 448.23 W
2025/07/23 10:39:58.122, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2325 MHz, 449.95 W
2025/07/23 10:40:00.145, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 446.24 W
2025/07/23 10:40:02.168, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 446.84 W
2025/07/23 10:40:04.190, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 448.77 W
2025/07/23 10:40:06.213, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 448.08 W
2025/07/23 10:40:08.235, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2325 MHz, 446.49 W
2025/07/23 10:40:10.258, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2355 MHz, 448.28 W
2025/07/23 10:40:12.281, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2340 MHz, 449.43 W
2025/07/23 10:40:14.304, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 69, 2385 MHz, 448.15 W
2025/07/23 10:40:16.327, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2385 MHz, 452.35 W
2025/07/23 10:40:18.349, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2325 MHz, 447.58 W
2025/07/23 10:40:20.371, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 74, 2340 MHz, 449.90 W
2025/07/23 10:40:22.394, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 448.58 W
2025/07/23 10:40:24.417, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 100 %, 75, 2370 MHz, 447.66 W
2025/07/23 10:40:26.439, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 93 %, 61, 2745 MHz, 246.04 W
2025/07/23 10:40:28.461, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 0 %, 58, 2550 MHz, 84.34 W
2025/07/23 10:40:30.484, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 0 %, 56, 330 MHz, 43.90 W
2025/07/23 10:40:32.506, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 0 %, 55, 210 MHz, 40.17 W
2025/07/23 10:40:34.529, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 0 %, 54, 210 MHz, 34.09 W
2025/07/23 10:40:36.552, NVIDIA GeForce RTX 4090, 00000000:01:00.0, 0 %, 53, 210 MHz, 29.08 W
